Name1,Name2,Count
B3_5_1.png,B3_50_1.png,1
B6_10_3.png,B6_100_3.png,3
B9_1_1.png,B9_10_1.png,1
B10_9_2.png,B10_90_2.png,1
B12_4_0.png,B12_40_0.png,0
B15_2_1.png,B15_20_1.png,1
B17_2_0.png,B17_20_0.png,0
B19_6_0.png,B19_60_0.png,0
B21_1_3.png,B21_10_3.png,3
B24_5_2.png,B24_50_2.png,2
B25_1_3.png,B25_10_3.png,3
B26_5_0.png,B26_50_0.png,0
B36_10_1.png,B36_100_1.png,0
B42_13_2.png,B42_130_2.png,2
B44_26_2.png,B44_260_2.png,2
B45_71_3.png,B45_710_3.png,3
B46_191_3.png,B46_1910_3.png,3
B47_180_2.png,B47_1800_2.png,2
B48_74_1.png,B48_74_1.png,1
B66_22_2.png,B66_220_2.png,2
