Name1,Name2,Count
B1_10_3.png,B1_10_3.png,3
B2_6_2.png,B2_6_2.png,2
B5_2_1.png,B5_2_1.png,1
B6_5_3.png,B6_5_3.png,2
B11_10_0.png,B11_10_0.png,0
B14_2_3.png,B14_2_3.png,3
B16_3_1.png,B16_3_1.png,1
B19_2_0.png,B19_2_0.png,0
B22_2_2.png,B22_2_2.png,2
B25_4_3.png,B25_4_3.png,3
B26_5_2.png,B26_5_2.png,2
B40_6_2.png,B40_6_2.png,2
B44_14_1.png,B44_14_1.png,1
B46_12_2.png,B46_12_2.png,2
B47_182_0.png,B47_182_0.png,0
B63_3_1.png,B63_3_1.png,1
B64_11_3.png,B64_11_3.png,3
B66_1_1.png,B66_1_1.png,1
B66_16_2.png,B66_16_2.png,2
B69_23_0.png,B69_23_0.png,1
